"filename", "language", "CSS", "HTML", "TypeScript", "XML", "comment", "blank", "total"
"c:\projects\shopApp3\src\app\modules\invoices\pages\create-transaction\create-transaction.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\projects\shopApp3\src\app\modules\invoices\pages\create-transaction\create-transaction.component.html", "HTML", 0, 43, 0, 0, 0, 2, 45
"c:\projects\shopApp3\src\app\modules\invoices\pages\create-transaction\create-transaction.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 6, 26
"c:\projects\shopApp3\src\app\modules\invoices\pages\create-transaction\create-transaction.component.ts", "TypeScript", 0, 0, 63, 0, 0, 14, 77
"c:\projects\shopApp3\src\app\modules\invoices\pages\list-items\list-items.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\projects\shopApp3\src\app\modules\invoices\pages\list-items\list-items.component.html", "HTML", 0, 21, 0, 0, 0, 1, 22
"c:\projects\shopApp3\src\app\modules\invoices\pages\list-items\list-items.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 6, 26
"c:\projects\shopApp3\src\app\modules\invoices\pages\list-items\list-items.component.ts", "TypeScript", 0, 0, 109, 0, 0, 13, 122
"c:\projects\shopApp3\src\app\modules\invoices\pages\select-customer\select-customer.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\projects\shopApp3\src\app\modules\invoices\pages\select-customer\select-customer.component.html", "HTML", 0, 6, 0, 0, 0, 0, 6
"c:\projects\shopApp3\src\app\modules\invoices\pages\select-customer\select-customer.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 6, 26
"c:\projects\shopApp3\src\app\modules\invoices\pages\select-customer\select-customer.component.ts", "TypeScript", 0, 0, 11, 0, 0, 5, 16
"c:\projects\shopApp3\src\app\modules\invoices\pages\wait-page\wait-page.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\projects\shopApp3\src\app\modules\invoices\pages\wait-page\wait-page.component.html", "HTML", 0, 15, 0, 0, 0, 0, 15
"c:\projects\shopApp3\src\app\modules\invoices\pages\wait-page\wait-page.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 6, 26
"c:\projects\shopApp3\src\app\modules\invoices\pages\wait-page\wait-page.component.ts", "TypeScript", 0, 0, 34, 0, 1, 5, 40
"c:\projects\shopApp3\src\app\modules\invoices\services\customer.service.ts", "TypeScript", 0, 0, 34, 0, 0, 6, 40
"c:\projects\shopApp3\src\app\modules\invoices\services\invoice-api.service.ts", "TypeScript", 0, 0, 25, 0, 0, 9, 34
"c:\projects\shopApp3\src\app\modules\invoices\services\invoice-store.service.ts", "TypeScript", 0, 0, 152, 0, 3, 26, 181
"c:\projects\shopApp3\src\app\modules\user\pages\profile\profile.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\projects\shopApp3\src\app\modules\user\pages\profile\profile.component.html", "HTML", 0, 1, 0, 0, 0, 1, 2
"c:\projects\shopApp3\src\app\modules\user\pages\profile\profile.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 6, 26
"c:\projects\shopApp3\src\app\modules\user\pages\profile\profile.component.ts", "TypeScript", 0, 0, 11, 0, 0, 5, 16
"c:\projects\shopApp3\src\app\modules\user\pages\register\register.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\projects\shopApp3\src\app\modules\user\pages\register\register.component.html", "HTML", 0, 18, 0, 0, 0, 1, 19
"c:\projects\shopApp3\src\app\modules\user\pages\register\register.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 6, 26
"c:\projects\shopApp3\src\app\modules\user\pages\register\register.component.ts", "TypeScript", 0, 0, 53, 0, 0, 11, 64
"c:\projects\shopApp3\src\app\modules\user\pages\sign-in\sign-in.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\projects\shopApp3\src\app\modules\user\pages\sign-in\sign-in.component.html", "HTML", 0, 18, 0, 0, 0, 4, 22
"c:\projects\shopApp3\src\app\modules\user\pages\sign-in\sign-in.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 6, 26
"c:\projects\shopApp3\src\app\modules\user\pages\sign-in\sign-in.component.ts", "TypeScript", 0, 0, 57, 0, 0, 11, 68
"c:\projects\shopApp3\src\app\modules\user\user-routing.module.ts", "TypeScript", 0, 0, 19, 0, 0, 3, 22
"c:\projects\shopApp3\src\app\modules\user\user.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\projects\shopApp3\src\app\modules\user\user.component.html", "HTML", 0, 11, 0, 0, 0, 0, 11
"c:\projects\shopApp3\src\app\modules\user\user.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 6, 26
"c:\projects\shopApp3\src\app\modules\user\user.component.ts", "TypeScript", 0, 0, 11, 0, 0, 5, 16
"c:\projects\shopApp3\src\app\modules\user\user.module.ts", "TypeScript", 0, 0, 26, 0, 0, 4, 30
"c:\projects\shopApp3\src\app\shared\class\BaseService.ts", "TypeScript", 0, 0, 84, 0, 0, 17, 101
"c:\projects\shopApp3\src\app\shared\collection.ts", "TypeScript", 0, 0, 75, 0, 0, 15, 90
"c:\projects\shopApp3\src\app\shared\components\calculator\calculator.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\projects\shopApp3\src\app\shared\components\calculator\calculator.component.html", "HTML", 0, 67, 0, 0, 0, 2, 69
"c:\projects\shopApp3\src\app\shared\components\calculator\calculator.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 6, 26
